,Filtro,Sample
0,ciao,ciao
340,|ForzaItalia|,"|#regionalisicilia ""Benvenuti nel centrodestra dell’uomo delle stelle"" La cena delle beffe alla trattoriadelCavaliere https:// infosannio.wordpress.com/2017/11/03/la- cena-delle-beffe-alla-trattoria-del-cavaliere/ …|"
341,|Altro|,|El próximo 5 de noviembre #Sicilia elige a su nuevo Presidente y parlamento regional con la vista puesta en las elecciones italianas de 2018 pic.twitter.com/EZff1HGwws|
342,|Altro|,|Regionali in Sicilia  Micari a rischio ineleggibilità: il candidato dem non si è dimesso da rettore. http://www. lanotiziagiornale.it/regionali-in-s icilia-micari-a-rischio-ineleggibilita-il-candidato-dem-non-si-e-dimesso-da-rettore-ma-la-legge-non-lo-consente-il-caso-in-parlamento/#.WfxeDTJ7OD4.twitter …|
343,|5stelle|,|#RegionaliSicilia #M5S disonesti perché incapaci Ecco i veri impresentabili @VittorioSgarbi @Musumeci_Staff @FratellidItaIia @forza_italia pic.twitter.com/Po26kF1HOz|
344,|Altro|,|Elezioni regionali : quando e come si vota in Sicilia . TUTTE LE INFO http:// fb.me/1HtZwQytN|
345,|ForzaItalia|,|Regionali Sicilia  un condannato nella lista M5s. Cancelleri: Ciappina ci ha mentito è fuori- http:// notizieoggi.com/?p=214452|
346,|ForzaItalia|,"|'Regionali Sicilia  Berlusconi Salvini e Meloni a cena: ""Il patto dell''arancino"". Il video http:// bit.ly/2yruxRz pic.twitter.com/0tLyMGTryd'|"
347,|Altro|,|Regionali Sicilia : i precedenti e le aspettative dei partiti http:// ow.ly/e8ip50eYmCE|
348,|5stelle|,|Regionali Sicilia / Sgarbi: “Viva Cancelleri! Viva Cancelleri!” http:// fb.me/6JseTVQP5|
349,|Altro|,|ANSA Sicilia : Regionali Sicilia : i precedenti e le aspettative dei partiti http:// ift.tt/2A38eho #sicilia|
350,|5stelle|,|'Regionali Sicilia  lezione all''università a 3 giorni dal voto per il deputato grillino http:// larep.it/2hzOH1i'|
351,|ForzaItalia|,|Regionali Sicilia : i precedenti e le aspettative dei partiti. Storicamente ha sorriso a centrodestra ma dal 2013 … http:// ift.tt/2A38eho|
352,|ForzaItalia|,|La cena dell’arancino. #RegionaliSicilia pic.twitter.com/wSZfl2ZwTT|
353,|Altro|,|Regionali Sicilia 2017 guida al voto https:// goo.gl/fb/mVcsQx #thexeon|
354,|Altro|,|REGIONALI  RUSH FINALE IN SICILIA : http:// youtu.be/wBxKgsy4eTE?a tramite @YouTube|
355,|Altro|,|Ho aggiunto un video a una playlist di @YouTube : http:// youtu.be/wBxKgsy4eTE?a REGIONALI  RUSH FINALE IN SICILIA|
356,|ForzaItalia|,|#RegionaliSicilia Cancelleri Giovanni Carlo detto Giancarlo detto Cancelleri. Volete mettere pure il nomignolo con cui lo chiama la madre? pic.twitter.com/LaRUAVYswg|
357,|Altro|,|Elezioni Sicilia  il governo Renzi-Berlusconi c’è già: dopo le regionali pezzi del Pd pronti a sostenere Musumeci http://www. ilfattoquotidiano.it/2017/10/28/ele zioni-sicilia-governo-renzi-berlusconi-ce-gia-dopo-le-regionali-pezzi-del-pd-pronti-a-sostenere-musumeci/3941700/ …|
358,|ForzaItalia|,|'#RegionaliSicilia  Patto dell''Arancinotra Salvini Berlusconi e Meloni. A cena tanti sorrisi ma Salvini rimanda discussioni dopo elezioni pic.twitter.com/mmvz4SPtjm'|
359,|ForzaItalia|,|Regionali Sicilia  un condannato nella lista M5s. Cancelleri: Ciappina ci ha mentito è fuori @LaStampa http://www. lastampa.it/2017/11/02/ita lia/politica/sicilia-un-condannato-nella-lista-ms-gionata-ciappina-zIj2rvTHBKAAopoiFvCkyH/pagina.html …|
360,|Altro|,|Regionali Sicilia  tutto quello da sapere per il voto di domenica articolo di Palermomania.it https://www. palermomania.it/news/cronaca-e -politica/regionali-sicilia-tutto-quello-da-sapere-per-il-voto-di-domenica-95367.html#.WfxDKweEJ7g.twitter …|
361,|ForzaItalia|,|Regionali Sicilia  Berlusconi a Palermo: “No a M5s chi li vota non ragiona”- http:// notizieoggi.com/?p=214338|
362,|Altro|,|Regionali  Riccardo Gallo: “Armao preziosa occasione a soluzione precariato in Sicilia ” – Grandangolo Agrigento http:// fb.me/6gMakwPG1|
363,|Altro|,|Regionali  Riccardo Gallo: “Armao preziosa occasione a soluzione precariato in Sicilia ” - http://www. grandangoloagrigento.it/regionali-ricc ardo-gallo-armao-preziosa-occasione-a-soluzione-precariato-in-sicilia/ …|
364,|5stelle|,|Regionali Sicilia / Sgarbi: “Viva Cancelleri! Viva Cancelleri!” https:// youtu.be/siR1V1ChP3g via @YouTube|
365,|Altro|,"|Regionali  #Gallo : ""Con #Armao soluzione del #precariato in #Sicilia "": https:// goo.gl/8ghqaW @gaearmao #EleSicilia #Sicilia2017|"
366,|Altro|,|#RegionaliSicilia Il diario #politico tra comizi e polemiche #oggiinedicola pic.twitter.com/u7OXKwcaSW|
367,|Altro|,|Regionali Sicilia 2017 come e dove richiedere la tessera elettorale http:// ift.tt/2hzhfaT|
368,|Altro|,|chi votereste domenica alle regionali in sicilia ? #lariachetira #tagadala7 #agorarai #dallavostraparte #omnibusla7|
369,|Altro|,"|Regionali  Gallo: ""Con Armao soluzione del precariato in Sicilia "" http:// dlvr.it/Pz0xrq pic.twitter.com/zaAsAM05zx|"
370,|ForzaItalia|,|A #Catania per chiusura della campagna elettorale regionali #Sicilia del centrodestra con @matteosalvinimi @GiorgiaMeloni @berlusconi pic.twitter.com/hNrBVlzXZB|
371,|Altro|,|Palermo Today: Regionali Sicilia 2017 come e dove richiedere la tessera elettorale http:// ift.tt/2hzhfaT #palermo|
372,|Altro|,|Regionali  Riccardo Gallo: “Armao preziosa occasione a soluzione precariato in Sicilia ” – Grandangolo Agrigento http:// fb.me/XOVEOdYm|
373,|Altro|,|Regionali Sicilia 2017 come e dove richiedere la tessera elettorale http://www. mondopalermo.it/news/regionali -sicilia-2017-come-e-dove-richiedere-la-tessera-elettorale/ …|
374,|5stelle|,|Regionali Sicilia / Sgarbi: “Viva Cancelleri! Viva Cancelleri!”: http:// youtu.be/siR1V1ChP3g?a tramite @YouTube|
375,|Altro|,|Regionali Sicilia 2017 come e dove richiedere la tessera elettorale http:// dlvr.it/Pz0vQ6 pic.twitter.com/BomzemXWDs|
376,|Altro|,|'Lunedì mattina sarò ospite del TGS per commentare in diretta lo spoglio delle Elezioni Regionali Sicilia 2017! Ringrazio @GDS_it x l''invito!'|
377,|Altro|,|#5novembre #DomenicalMuseo Gratis #musei regionali #Sicilia https:// goo.gl/qTgYCe #VisitSicilyinfo ph P Balistr… https:// twitter.com/VisitSicilyOP/ status/926376786858037248 … ) pic.twitter.com/l5hW1rGAuO|
378,|Altro|,|#VisitSicilyOP : #5novembre #DomenicalMuseo Gratis #musei regionali #Sicilia https:// goo.gl/qTgYCe #VisitSicilyi … https:// twitter.com/i/web/status/9 26376786858037248 …|
379,|ForzaItalia|,"|#Catania Regionali in Sicilia : Silvio Meloni e Salvini allo stesso tavolo ""Trattoria del Cavaliere"" GUARDA LE FOTO http://www. lasiciliaweb.it/fotogalleria/1 55068 … pic.twitter.com/AiZaVCfLfE|"
380,|Altro|,|#5novembre #DomenicalMuseo Gratis #musei regionali #Sicilia https:// goo.gl/qTgYCe #VisitSicilyinfo ph P Balistreri exStabFlorio #Egadi pic.twitter.com/kctjTzwHvp|
381,|Altro|,|#5novembre - Elezioni regionali in #Sicilia . Per cosa e come si voterà http://www. treccani.it/magazine/atlan te/geopolitica/Elezioni_regionali_in_Sicilia_Per_cosa_e_come_si_votera.html … pic.twitter.com/xxeg2Uc4Z5|
382,|Altro|,|#regionalisicilia #musumecipresidente Questa mattina alle 1130 a Comiso con Giorgio Assenza. @stampasgarbi @Lasiciliaweb pic.twitter.com/Ju5u7YTRX3|
383,|Altro|,|A lavorare come ogni giorno aspetto lunedi con interessa aspetto lesito delle elezioni regionali in sicilia ... http:// fb.me/K8aXXcrf|
384,|5stelle|,|Regionali in #Sicilia  #Micari a rischio ineleggibilità. Il caso sollevato da @GiuliaDiVita e @Chiara_DiBe http://www. lanotiziagiornale.it/regionali-in-s icilia-micari-a-rischio-ineleggibilita-il-candidato-dem-non-si-e-dimesso-da-rettore-ma-la-legge-non-lo-consente-il-caso-in-parlamento/#.WfwvXFsu8Ng.twitter …|
385,|ForzaItalia|,|'Regionali in Sicilia  grillino fa volantinaggio a convention Berlusconi: ''Voglio convertirli'' https:// video.repubblica.it/edizione/paler mo/regionali-in-sicilia-grillino-fa-volantinaggio-a-convention-berlusconi-voglio-convertirli/288724/289330 … via @repubblica'|
386,|ForzaItalia|,|Elezioni regionali  lettera aperta ai cittadini di Eleonora Lo Curto http:// ift.tt/2zeiIx7 #Sicilia #Notizie #Tp24|
387,|ForzaItalia|,|Elezioni regionali in Sicilia : i cittadini sceglieranno se portare la regione nel futuro o nel.... trapassato... http:// fb.me/7fNbP3w2o|
388,|Altro|,|Non solo #Sicilia . Con #Lombardia e #Lazio nel 2018 al voto sette regioni #regionali http://www. ilsole24ore.com/art/notizie/20 17-11-02/non-solo-sicilia-lombardia-e-lazio-2018-voto-sette-regioni-153301.shtml?uuid=AEWck81C …|
389,|Altro|,|Elezioni Regionali Sicilia 2017 - LIVE BLOG http://www. ansa.it/sito/notizie/p olitica/2017/11/02/elezioni-regionali-sicilia-2017-live-blog_b8fbb067-dd66-4d3d-9557-20fd357920bf.html … pic.twitter.com/r6nbceG4co|
390,|Altro|,|Se i big dei mercati guardano alla #Sicilia #M5S #Regionali @isa_bufacchi http://www. ilsole24ore.com/art/notizie/20 17-11-02/se-big-mercati-guardano-sicilia-214844.shtml?uuid=AEiKmK2C …|
391,|5stelle|,"|Regionali Sicilia  Berlusconi ""Niente tasse per i siciliani che tornano a casa"" : solo gli idioti possono credere a queste scemenze|"
392,|Altro|,"|'Verso le Regionali  Maria Falcone a ""Radio Anch''io"": ""Campagna elettorale violenta"" | il Sito di Sicilia http:// fb.me/1ImccmdTw'|"
393,|5stelle|,|Intrighi candidati impresentabili e pupari occulti: ecco a voi le elezioni regionali in Sicilia http:// espresso.repubblica.it/palazzo/2017/1 0/27/news/intrighi-candidati-impresentabili-e-pupari-occulti-ecco-a-voi-le-elezioni-regionali-in-sicilia-1.312960 …|
394,|Altro|,|Scopri la mappa dei musei regionali in Sicilia https://www. google.com/mymaps/viewer? mid=1rupR01JKpidxwdC2inzI-e1ULIE&hl=it … pic.twitter.com/W2ny7BIcp1|
395,|Altro|,|Quando nessuno li ascolta più si rivolgono al Buon Gesù #RegionaliSicilia|
396,|ForzaItalia|,"|Regionali Sicilia  Berlusconi a Catania: ""Niente tasse per i siciliani che tornano a casa"" http:// palermo.repubblica.it/politica/2017/ 11/02/news/regionali_sicilia_berlusconi_a_catania_niente_tasse_per_i_siciliani_che_tornano_a_casa_-180066928/ … via @repubblica ALLEGRIA!|"
397,|Altro|,|Regionali Sicilia  CasaPound si astiene: “E’ solo un miserabile teatrino” https:// secolo-trentino.com/politica/regio nali-sicilia-casapound-si-astiene-e-solo-un-miserabile-teatrino/ … pic.twitter.com/H3IjbYdrrP|
398,|Altro|,|Elezioni Regionali Sicilia 2017: si vota domenica 5 novembre http://www. giurdanella.it/copertina/elez ioni-regionali-sicilia-2017-si-vota-domenica-5-novembre/ … pic.twitter.com/0RMkYunY10|
399,|Altro|,|Elezioni regionali  Stefano Pellegrino chiude la campagna elettorale a Porta Nuova http:// ift.tt/2xRQrJd #Sicilia #Notizie #Tp24|
400,|5stelle|,|Berlusconi Salvini Meloni «patto dell’arancino» per le Regionali in Sicilia : «È andato tutto bene vero?» http://www. corriere.it/politica/17_no vembre_03/berlusconi-salvini-meloni-siglato-patto-dell-arancino-le-regionali-sivilia-3b21f8f4-c048-11e7-8b75-0df914d10fe2.shtml …|
401,|Altro|,"|Mentana ieri sera ""sbavava"". Improvvisamente le elezioni regionali in Sicilia sono passate in secondo piano in confronto a questo EVENTO|"
402,|ForzaItalia|,"|Regionali Sicilia  Berlusconi: ""5 Stelle giustizialisti e opportunisti"" http://www. lapresse.it/video/regional i-sicilia-berlusconi-5-stelle-giustizialisti-e-opportunisti.html …|"
403,|5stelle|,|Mi auguro per i siciliani uno scatto di dignità. #RegionaliSicilia|
404,|Altro|,|Ora in diretta a @omnibusla7 : parliamo di #RegionaliSicilia  supermedia dei sondaggi #Rosatellum e mappe dei collegi... #omnibusla7|
405,|Altro|,|Elezioni regionali  lettera aperta agli elettori di Paolo Ruggieri http:// ift.tt/2z8TMFl #Sicilia #Notizie #Tp24|
406,|ForzaItalia|,"|Regionali Sicilia  Berlusconi a Catania: ""Niente tasse per i siciliani che tornano a casa"" http:// palermo.repubblica.it/politica/2017/ 11/02/news/regionali_sicilia_berlusconi_a_catania_niente_tasse_per_i_siciliani_che_tornano_a_casa_-180066928/ … via @repubblica|"
407,|Altro|,|Stefano Pellegrino capolista di Forza Italia e candidato alle Regionali Sicilia 2017 a tutto campo sugli... http:// youtu.be/doaRQTQJ2Jc?a|
409,|Altro|,|#RegionaliSicilia corsa a cinque per la presidenza http://www. centonove.it/2017/11/03/reg ionali-sicilia-corsa-cinque-la-presidenza/ … #elezioni #100Nove|
